               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098784,             0.01966,            0.033484,             0.66888,           0.0060606,           0.0062622,           0.0011705,            0.084379,            0.010686,            0.043362,             0.00081,             0.00081,             0.09271
                   1,            0.092152,            0.020631,            0.029635,            0.001048,             0.31113,          0.00068352,          0.00011006,             0.08661,            0.010657,             0.04747,             0.00163,             0.00163,             0.08533
                   2,            0.091353,             0.02085,              0.0297,           0.0067813,            0.012121,          0.00056873,           8.636e-05,            0.094664,           0.0075123,            0.054599,           0.0024498,           0.0024498,             0.07795
                   3,            0.090392,            0.020924,            0.029234,           0.0043653,             0.19868,           0.0011563,          0.00012901,            0.080468,            0.010887,            0.046823,           0.0032694,           0.0032694,            0.070569
                   4,             0.08758,            0.020575,            0.028859,             0.40999,            0.090843,            0.013414,            0.001897,            0.073256,            0.011687,            0.045836,           0.0040886,           0.0040886,            0.063189
                   5,            0.081024,            0.020916,             0.02717,             0.67698,            0.024242,           0.0031305,          0.00071963,            0.081793,            0.025458,            0.045865,           0.0049073,           0.0049073,            0.055807
                   6,            0.075351,             0.02014,            0.024619,             0.78773,            0.072727,            0.055628,            0.013005,            0.080063,            0.017736,            0.044897,           0.0057255,           0.0057255,            0.048425
                   7,            0.072686,            0.019789,             0.02225,             0.23806,             0.15144,             0.14345,             0.04598,            0.075012,            0.012606,             0.03031,            0.006543,            0.006543,            0.041043
                   8,            0.070252,            0.019053,            0.019883,             0.37237,             0.41569,             0.33522,             0.13147,            0.055449,             0.01012,            0.029775,           0.0073597,           0.0073597,             0.03366
                   9,              0.0679,            0.018529,            0.019425,             0.99958,             0.10909,             0.16976,            0.069188,            0.067131,            0.011337,            0.035645,           0.0081755,           0.0081755,            0.026275
                  10,            0.066327,            0.018017,            0.017823,             0.46686,             0.36354,             0.36079,              0.1275,            0.061565,           0.0091582,            0.037461,           0.0089903,           0.0089903,             0.01889
                  11,            0.064777,            0.017603,            0.017229,             0.39461,             0.21805,             0.24366,            0.094795,            0.059028,           0.0099502,            0.038023,           0.0098039,           0.0098039,            0.011504
                  12,             0.06338,            0.017507,             0.01656,             0.65777,             0.48221,             0.51855,             0.15988,             0.05298,            0.007727,            0.019177,           0.0099685,           0.0099685,           0.0099685
                  13,            0.061674,            0.017049,            0.016361,              0.5206,              0.4622,             0.46065,             0.15292,            0.057357,             0.01006,            0.022657,           0.0099685,           0.0099685,           0.0099685
                  14,            0.059731,             0.01653,            0.015453,             0.41658,             0.38998,             0.35462,             0.12063,            0.048779,            0.010676,            0.023742,            0.009963,            0.009963,            0.009963
                  15,              0.0587,             0.01597,            0.014514,             0.44483,             0.40059,             0.47164,             0.17156,            0.048863,            0.012258,            0.024944,           0.0099571,           0.0099571,           0.0099571
                  16,            0.057414,            0.015815,            0.014342,             0.59196,             0.49221,              0.4724,             0.15939,            0.049311,             0.00814,            0.019497,           0.0099508,           0.0099508,           0.0099508
                  17,            0.056932,            0.016185,            0.014212,             0.51987,             0.54146,             0.55163,             0.23592,            0.047279,            0.010675,            0.026709,            0.009944,            0.009944,            0.009944
                  18,            0.056388,            0.015409,            0.012882,             0.62102,             0.59384,             0.55409,             0.19707,            0.049813,           0.0079113,            0.015693,           0.0099368,           0.0099368,           0.0099368
                  19,            0.056161,            0.015317,            0.012783,             0.54979,             0.29283,             0.32899,             0.14852,            0.051996,            0.010516,            0.029735,           0.0099291,           0.0099291,           0.0099291
                  20,            0.054805,            0.015209,            0.012477,             0.65964,             0.72018,             0.67728,             0.27605,            0.043708,           0.0066038,            0.018587,           0.0099211,           0.0099211,           0.0099211
                  21,            0.054663,            0.015157,            0.012684,             0.66086,              0.6126,             0.63716,             0.24089,            0.047397,           0.0080325,            0.013993,           0.0099126,           0.0099126,           0.0099126
                  22,            0.054263,            0.015263,            0.012598,             0.61438,             0.53339,             0.54744,             0.23086,            0.044147,           0.0091992,            0.019718,           0.0099037,           0.0099037,           0.0099037
