               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072926,            0.031916,            0.030364,             0.48264,             0.63254,             0.67389,             0.26315,            0.042098,            0.012555,            0.032604,             0.00081,             0.00081,             0.09271
                   1,            0.051454,            0.021354,            0.020094,             0.60191,             0.71583,             0.72753,             0.36671,            0.036626,           0.0081793,            0.021565,             0.00163,             0.00163,             0.08533
                   2,            0.046739,            0.018509,            0.014848,             0.92685,              0.9089,             0.94309,             0.41392,             0.03886,            0.006148,            0.013099,           0.0024498,           0.0024498,             0.07795
                   3,            0.043263,            0.017516,            0.011603,             0.92495,             0.89818,             0.92272,             0.46701,            0.030742,           0.0058057,            0.008886,           0.0032694,           0.0032694,            0.070569
                   4,            0.040088,            0.016647,            0.010256,             0.87625,             0.87911,             0.92469,             0.45205,            0.029664,           0.0056145,           0.0071009,           0.0040886,           0.0040886,            0.063189
                   5,            0.038542,             0.01582,           0.0084721,              0.9142,             0.93763,             0.96525,             0.51941,            0.027107,           0.0061548,            0.003775,           0.0049073,           0.0049073,            0.055807
                   6,            0.037136,            0.015926,           0.0094048,             0.87194,             0.84174,              0.8999,              0.4218,            0.030921,           0.0064083,             0.01732,           0.0057255,           0.0057255,            0.048425
                   7,            0.035784,            0.015564,           0.0087247,              0.9247,             0.79808,              0.8683,              0.4754,            0.031279,           0.0060364,            0.011876,            0.006543,            0.006543,            0.041043
                   8,            0.035089,            0.015633,           0.0078536,              0.8114,             0.80843,             0.81424,             0.46531,            0.032522,           0.0063482,           0.0068112,           0.0073597,           0.0073597,             0.03366
                   9,            0.034971,            0.016029,           0.0083624,             0.79349,             0.83889,             0.88579,             0.43349,             0.03563,           0.0060839,            0.011095,           0.0081755,           0.0081755,            0.026275
                  10,            0.034663,            0.015977,           0.0085617,             0.73958,             0.86408,             0.79679,             0.43202,            0.031775,           0.0088799,           0.0078285,           0.0089903,           0.0089903,             0.01889
                  11,            0.035231,            0.016621,           0.0090599,              0.5404,             0.28513,             0.30384,             0.12279,            0.046474,            0.015535,            0.031957,           0.0098039,           0.0098039,            0.011504
                  12,             0.03497,             0.01651,           0.0085438,             0.65529,             0.62234,             0.65345,             0.39077,             0.02898,            0.013059,           0.0064058,           0.0099685,           0.0099685,           0.0099685
                  13,            0.033864,            0.016371,           0.0080515,             0.64068,             0.85153,             0.70151,             0.42922,            0.027229,           0.0085016,            0.020746,           0.0099685,           0.0099685,           0.0099685
                  14,              0.0332,             0.01617,           0.0075576,             0.87548,             0.78599,             0.85584,             0.43067,            0.034074,           0.0065433,            0.017053,            0.009963,            0.009963,            0.009963
                  15,            0.033028,            0.016362,           0.0077714,             0.80431,             0.88323,             0.87747,             0.51755,            0.027005,           0.0068232,           0.0081653,           0.0099571,           0.0099571,           0.0099571
                  16,            0.032119,            0.015621,            0.007114,             0.94806,             0.91756,             0.96755,             0.53461,            0.031221,           0.0057166,            0.016108,           0.0099508,           0.0099508,           0.0099508
                  17,            0.031374,            0.015066,           0.0066398,             0.91329,             0.90654,             0.96241,             0.57424,            0.026141,           0.0054269,            0.021032,            0.009944,            0.009944,            0.009944
                  18,            0.031007,             0.01532,           0.0068044,             0.72812,             0.78661,             0.79207,             0.37692,            0.033942,           0.0065851,             0.01928,           0.0099368,           0.0099368,           0.0099368
                  19,            0.030627,            0.015027,           0.0066104,             0.93123,             0.88632,             0.94427,             0.55034,            0.029335,           0.0051754,            0.022585,           0.0099291,           0.0099291,           0.0099291
                  20,            0.030157,            0.014528,           0.0062723,             0.87674,             0.86536,             0.87461,             0.54225,             0.02878,           0.0056936,           0.0069271,           0.0099211,           0.0099211,           0.0099211
                  21,            0.030407,             0.01411,           0.0058827,              0.9429,             0.89289,             0.94204,             0.57931,            0.025405,            0.006875,           0.0099706,           0.0099126,           0.0099126,           0.0099126
                  22,            0.028963,            0.014444,           0.0062132,             0.90517,             0.83541,             0.92065,             0.51313,            0.030468,           0.0056437,             0.02049,           0.0099037,           0.0099037,           0.0099037
                  23,            0.029761,            0.014025,           0.0056255,             0.96745,             0.95148,             0.98269,              0.5874,            0.026085,           0.0048157,            0.023325,           0.0098943,           0.0098943,           0.0098943
                  24,            0.029488,            0.014291,           0.0055855,             0.84691,             0.67802,             0.73274,             0.44472,            0.032702,           0.0084219,            0.024204,           0.0098845,           0.0098845,           0.0098845
                  25,            0.028839,            0.014132,           0.0054934,             0.96591,             0.94309,              0.9582,             0.57091,            0.026322,             0.00491,           0.0062016,           0.0098743,           0.0098743,           0.0098743
                  26,            0.028836,            0.013728,           0.0053193,             0.89616,             0.94617,             0.95096,             0.53349,            0.029734,           0.0051377,            0.011418,           0.0098637,           0.0098637,           0.0098637
                  27,              0.0279,             0.01366,           0.0052991,             0.87925,             0.77445,             0.89352,             0.57055,            0.028307,           0.0059651,            0.014065,           0.0098527,           0.0098527,           0.0098527
                  28,            0.027449,            0.013501,            0.005081,             0.73838,              0.7901,             0.79626,             0.53788,            0.030253,           0.0062331,            0.013908,           0.0098412,           0.0098412,           0.0098412
